Parameter Name,Count,Mean_99pct,Std_99pct,Min_99pct,Max_99pct
n-Heptane,73,3.0815328767123282,7.4352611813023675,0.1,63.5
Cyclohexane,74,3.027695945945947,11.238982288097757,0.1,97.0
Temperature Difference,49,2.8693877551020406,1.251865954224708,0.6,6.5
Methylcyclohexane,37,2.8605135135135136,2.458914365365578,0.28,9.39
9-fluorenone (TSP) STP,2,2.823,1.0055058428472703,2.112,3.534
alpha.-Pinene,27,2.7990962962962964,5.3390521048274735,0.29,24.2
Methylcyclopentane,39,2.7598641025641024,2.198455777955252,0.2802,10.91
Aluminum (TSP) LC,8,2.7464625,4.1521710885262015,0.6188,12.7645
3-Methylhexane,41,2.638536585365854,1.7071495118700204,0.49,7.94
Antimony PM10 STP,14,2.5435714285714286,2.4602864346777475,0.17,7.9
n-Dodecane,23,2.5231565217391303,8.805317929308714,0.1387,42.65
3-Methylpentane,32,2.521903125,1.5073704055962285,0.6,6.59
"1,2,4-Trimethylbenzene",104,2.4935788461538455,6.1788555553058995,0.09,60.1
EC1 CSN_Rev Unadjusted PM2.5 LC,142,2.48364661971831,2.578366793153511,0.35912,22.08877
Soil PM2.5 LC,291,2.3599374570446727,4.5412420942881795,0.08733,49.78739
Black carbon PM2.5 STP,27,2.354814814814815,0.942534922309025,0.73,4.51
2-Methylhexane,36,2.3038722222222225,1.555017869371118,0.3163,7.87
Arsenic PM10 LC,22,2.2920000000000003,2.762552580839822,0.106,13.6
Methyl ethyl ketone,94,2.281489361702128,2.242460168523064,0.1,14.6
Ammonium Nitrate PM2.5 LC,153,2.267053529411765,2.2708781051562963,0.08267,13.33374
Vertical Wind Speed,13,2.1923076923076925,1.1940557904759856,0.3,4.4
Std Dev Vt Wind Speed,26,2.1884615384615387,0.5968764850968235,1.4,3.9
Styrene,123,2.1550203252032523,9.283358976022539,0.08,80.8
Acrolein - Unverified,33,2.0681818181818183,1.917849470346693,0.2,7.5
o-Xylene,130,2.0603392307692308,5.973052015777002,0.1,64.0
Iron (TSP) LC,7,2.05,0.6789943544193379,1.35,2.91
PM2.5 Volatile Channel,16,2.03125,1.6123352629028493,0.3,4.8
Dichloromethane,88,2.016704545454545,6.788258917431924,0.09,45.14
"2,3-Dimethylpentane",39,2.0063871794871795,1.3228219634314258,0.1986,6.0
2-Ethyl-1-butene,1,1.96,,1.96,1.96
Vanadium PM10 LC,2,1.95,0.6363961030678927,1.5,2.4
beta.-Pinene,16,1.9479875000000002,2.4334235011262084,0.14,8.0395
Sulfur dioxide (LC),5,1.8656000000000001,2.6657946845171705,0.589,6.632
Molybdenum PM10 LC,2,1.85,0.07071067811865465,1.8,1.9
Arsenic PM10 STP,16,1.845,1.6427172611256025,0.14,6.9
OC3 CSN_Rev Unadjusted PM2.5 LC,142,1.8345704225352113,1.377814424080426,0.281,13.296
Sulfate PM2.5 LC,296,1.8219729729729728,2.127413919693989,0.142,17.11
Total Nitrate (NO3 + HNO3) LC,5,1.7853999999999999,0.4948568479873751,1.379,2.507
OC2 CSN_Rev Unadjusted PM2.5 LC,142,1.7139647887323943,1.7709128207253824,0.208,13.599
OP CSN_Rev Unadjusted PM2.5 LC TOT,142,1.6255000000000004,1.7694738359264792,0.203,15.925
Ethylbenzene,129,1.613191472868217,3.9172406039884877,0.1,41.8
EC CSN_Rev Unadjusted PM2.5 LC TOR,142,1.6066126760563384,1.051976901888859,0.219,8.015
Particulate Nitrate (TSP) LC,5,1.5886,0.48311054635559336,1.186,2.324
Ammonium Ion PM2.5 LC,143,1.5865734265734266,1.1263584004796758,0.25,7.79
"2,3,4-Trimethylpentane",36,1.5621805555555557,1.480546584941703,0.24,7.23
Cyclopentane,36,1.5578777777777775,1.530016773598271,0.15,8.08
Ammonium Sulfate PM2.5 LC,154,1.5534295454545453,1.6311133849350177,0.23537,12.37473
Levoglucosan PM2.5 LC,6,1.5433333333333337,0.8626161757506444,0.73,3.1
Methacrolein,8,1.5374999999999999,2.0444611584893044,0.2,6.5
OP PM2.5 LC TOT,137,1.5212627737226279,1.7325193627220896,0.194,15.914
Acenaphthylene (TSP) STP,29,1.510255172413793,1.7220694244314239,0.0874,8.35
Retene (TSP) STP,2,1.492,0.5982123368838193,1.069,1.915
Iron (TSP) STP,9,1.4820000000000002,0.7154909153860725,0.429,2.51
EC1 PM2.5 LC,291,1.4735154639175252,2.250721901570321,0.055,22.088
Butyraldehyde & isobutyraldehyde,5,1.4599999999999997,0.9864076236526155,0.6,3.1
n-Octane,85,1.42518,2.8232591816230843,0.1,24.4
Black Carbon  PM2.5 Corrected,1,1.41,,1.41,1.41
n-Decane,37,1.4034297297297298,1.1787729262209885,0.1,5.87
Solar radiation,221,1.3474208144796378,0.17103734127447937,0.63,2.47
Vinyl chloride,9,1.3266666666666667,2.235078298404779,0.01,6.5
Sample Flow Rate CV - Teflon Filter,137,1.298540145985402,0.7311338295314154,0.7,4.9
Sample Flow Rate CV - Nylon Filter,137,1.2788321167883214,0.6978360098246481,0.7,4.4
m-Ethyltoluene,34,1.2537558823529413,1.753056040728318,0.09,10.4319
OP CSN_Rev Unadjusted PM2.5 LC TOR,142,1.2522535211267605,1.797309855148256,0.21,14.276
"2,3-Dimethylbutane",29,1.228562068965517,0.9540380616897366,0.18,4.15
Ultraviolet radiation,32,1.2278125,6.564183724097741,0.04,37.2
n-Nonane,36,1.2261111111111112,1.0216296409666212,0.19,5.13
"2,4-Dimethylpentane",34,1.2239117647058824,0.9254378612359193,0.14,3.7
EC CSN_Rev Unadjusted PM2.5 LC TOT,142,1.2210352112676057,1.2120308753175408,0.15,9.899
Selenium PM10 STP,13,1.22,1.3404041679035965,0.1,4.6
Chrysene (TSP) STP,30,1.2175733333333332,1.4930060966994103,0.0228,6.61
Methyl methacrylate,5,1.2020000000000002,0.7559894179153567,0.42,2.4
Light scatter,79,1.2012658227848105,0.7458420934972276,0.1,3.5
UV Carbon at 370 nm (TSP),1,1.19,,1.19,1.19
OC3 PM2.5 LC,291,1.187632302405498,1.2599519498998386,0.063,13.221
Acrolein - Verified,51,1.1784313725490199,0.7933003782906438,0.4,4.1
EC PM2.5 LC TOT,137,1.1767372262773723,1.1829305724622132,0.15,9.899
Sulfate (TSP) LC,5,1.166,0.635565102880893,0.785,2.297
Anthracene (TSP) STP,28,1.1646428571428569,3.192107048055153,0.0508,17.2
